"year","sp500","wmt"
1977,0.0233359075973478,0.134256158427404
1978,-0.123177572945568,0.344012759905113
1979,0.0310168798931463,0.1355455759816
1980,0.0933526151754196,0.495964623051079
1981,0.289145173827339,0.910539980006721
1982,-0.099750614928992,0.366530959053448
1983,0.127097920365256,1.28495146548809
1984,0.185774162415552,0.596962539257609
1985,0.00810779008467022,0.0054384747478553
1986,0.267400390193923,0.611263665306021
1987,0.175867175220175,0.525968731171622
1988,0.0385068192764355,0.170588501947998
1989,0.0756817806220893,0.120671751443549
1990,0.30649088529687,0.560049387196409
1991,-0.0924128833405365,0.279716591926074
1992,0.278174281399637,0.97837689252575
1993,0.043426148428088,0.0673380913980191
1994,0.0690431283510247,-0.185226700745913
1995,-0.0136000710223454,-0.175822281773926
1996,0.352028926126334,0.122750955177287
1997,0.187327876783179,-0.00255129851523084
1998,0.322967076576632,0.725459728501923
1999,0.259538073577837,1.05819833975173
2000,0.184936079824305,0.664059076914797
2001,-0.118160796741123,-0.189831242985751
2002,-0.100212717221362,0.0836509249819517
2003,-0.212736111009797,-0.106368812268893
2004,0.219409639664101,0.0203705697978247
2005,0.0844399332736314,0.0297130449053793
2006,0.0555038726312496,-0.122703068079371
2007,0.116487957968099,0.0437444379517651
2008,0.0215728216295568,0.00518576075929755
2009,-0.356118213752943,0.240464747567307
2010,0.215915437944938,-0.0309765055042697
2011,0.122578315854391,0.0292336940236981
2012,0.00408065564600757,0.136036308983813
2013,0.145145863817614,0.175990447857156
2014,0.25270437043959,0.167656064071604
2015,0.123483866152971,0.115849554442134
2016,-0.0221260898224482,-0.26462239514715
2017,0.121813937665453,0.149589606873126
2018,0.193982702556814,0.4730361764328
2019,-0.0689143616422982,-0.0307797791745898
2020,0.297932717788583,0.300073564089245
2021,0.135917795912727,0.252531115725987
2022,0.296139917357738,0.00286843084521138
2023,-0.202732823969,0.00834636498344365
2024,0.240234460912339,0.126181191071157
2025,0.237351899186642,0.715338105804542
2026,0.168682288316877,0.264881761733544
